"ID","OWNERID","ISDELETED","NAME","RECORDTYPEID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","MAYEDIT","ISLOCKED","LASTVIEWEDDATE","LASTREFERENCEDDATE","ACTIVE_VOD__C","CHILD_OBJECT_NAME_VOD__C","CHILD_RELATIONSHIP_VOD__C","INCLUDE_RELATED_OBJECTS_VOD__C","OBJECT_NAME_VOD__C","PARENT_OBJECT_NAME_VOD__C","PROFILE_ID_VOD__C","RELATIONSHIP_FIELD_VOD__C","RELATIONSHIP_NAME_VOD__C","TYPE_VOD__C","WHERE_CLAUSE_VOD__C","PROFILE_NAME_VOD__C","META_DATA_ONLY_VOD__C","ACCOUNT_LOOKUP_FIELD_VOD__C","DEVICE_VOD__C","EXCLUDE_FIELD_LIST_VOD__C","FIELD_LIST_VOD__C","EXTERNAL_ID_VOD__C","INCLUDE_ATTACHMENTS_VOD__C","ENABLE_ENHANCED_SYNC_VOD__C","MRK_EXTERNAL_ID__C"
"a0xU0000000DHkzIAG","005U0000000XLdfIAG","false","TSM-0000198","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Formulary_Products_vod__c","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHl0IAG","005U0000000XLdfIAG","false","TSM-0000199","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Sales_Transaction_vod__c","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHl1IAG","005U0000000XLdfIAG","false","TSM-0000200","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Analytics_Data_Channel_vod__c","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHl2IAG","005U0000000XLdfIAG","false","TSM-0000201","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Analytics_Files_vod__c","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHl3IAG","005U0000000XLdfIAG","false","TSM-0000202","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Analytics_File_Market_Map_vod__c","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHl4IAG","005U0000000XLdfIAG","false","TSM-0000203","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Analytics_Markets_vod__c","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHl5IAG","005U0000000XLdfIAG","false","TSM-0000204","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Analytics_Layouts_vod__c","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHl6IAG","005U0000000XLdfIAG","false","TSM-0000205","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Analytics_Product_Group_vod__c","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHl7IAG","005U0000000XLdfIAG","false","TSM-0000206","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Data_Map_Template_vod__c","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHl8IAG","005U0000000XLdfIAG","false","TSM-0000207","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Data_Map_Template_Field_vod__c","","","","","F","","","false","","","","","","false","false",""
